id, name, terminalName, lat, long, installed, locked, installDate, removalDate, temporary, nbBikes, nbEmptyDocks, latestUpdateTime
206,"Hutchison / des Pins",6208,45.51069,-73.57805,true,false,1333325640000,,false,11,7,1335492984197
207,"Milton / Clark",6209,45.51252,-73.57062,true,false,1333325520000,,false,8,15,1335495555314
208,"Metro  Sauvé",6210,45.5509,-73.656,true,false,1334275740000,,false,11,0,1335487894946
209,"Roy / Saint-Laurent",6211,45.51561,-73.57569,true,false,1332978900000,,false,7,0,1335495316848
210,"Duluth / Saint-Urbain",6212,45.51566,-73.58064,true,false,1334191440000,,false,14,5,1335495456983
211,"Duluth / Saint-Laurent",6213,45.5171,-73.57921,true,false,1332979020000,,false,5,10,1335495292217
212,"Square Saint-Louis",6214,45.51735,-73.56906,true,false,1332959340000,,false,25,18,1335495047056
213,"Saint-Cuthbert / Saint-Urbain",6215,45.51494,-73.57821,true,false,1332959400000,,false,7,12,1335495469052
214,"Parc du Mont-Royal",6216,45.51496,-73.58503,true,false,1333047660000,,false,20,3,1335493188688
215,"Marie-Anne / Saint-Urbain",6217,45.51778,-73.58531,true,false,1332979140000,,false,17,2,1335494233860
216,"de l'Hôtel-de-Ville / Roy",6219,45.51737,-73.57452,true,false,1332978780000,,false,17,1,1335494925217
217,"Laval / Duluth",6220,45.51923690964773,-73.57721507549286,true,false,1334191500000,,false,15,0,1335492761596
218,"Mont-Royal / Clark",6221,45.51941,-73.58685,true,false,1334191620000,,false,22,9,1335495143350
219,"de l'Esplanade / Mont-Royal",6222,45.51833,-73.58825,true,false,1334191620000,,false,18,1,1335494314634
220,"Mont-Royal / du Parc",6223,45.517,-73.589,true,false,1333747800000,,false,24,1,1335482705467
221,Villeneuve/parc,6224,45.51829,-73.59235,true,false,1332866580000,,false,15,0,1335495307488
222,"Villeneuve / Saint-Urbain",6225,45.52039,-73.59026,true,false,,,false,11,0,1335493014086
224,"Jeanne-Mance / Laurier",6227,45.52024,-73.59494,true,false,1333047660000,,false,19,3,1335493583940
226,"Waverly / Saint-Viateur",6230,45.52402527115221,-73.60042154788971,true,false,,,false,11,8,1335493118217
227,"Saint-Viateur / du Parc",6231,45.52246,-73.6019,true,false,1334275860000,,false,14,4,1335494470399
228,"Bernard / Clark",6234,45.52697,-73.60261,true,false,1332978660000,,false,11,3,1335494747896
229,"Saint-Dominique / Saint-Viateur",6235,45.52654331973003,-73.59823286533356,true,false,1332978720000,,false,12,3,1335494347081
230,"Laurier / de Lorimier",6236,45.53801968350807,-73.57845962047577,true,false,1333569960000,,false,7,8,1335489800348
232,"Parthenais / Gilford",6237,45.53797459432353,-73.57477962970734,true,false,1334777640000,,false,7,8,1335494237681
233,"Chapleau / Marie-Anne",6903,45.53751242809744,-73.56695830821991,true,false,1334438820000,,false,12,3,1335494743924
234,"de Bordeaux / Jean-Talon",6924,45.54970407823863,-73.60551238059998,true,false,1334315040000,,false,10,0,1335492496976
236,"Fairmount / Hutchison",6240,45.519486,-73.598419,true,false,,,false,15,0,1335485545168
237,"Querbes / Laurier",6241,45.517345,-73.597724,true,false,1334062740000,,false,12,2,1335493128920
239,"Bloomfield / Bernard",6243,45.520532,-73.608144,true,false,1334097660000,,false,15,4,1335491764639
241,"Bloomfield / Van Horne",6245,45.522608,-73.613178,true,false,1334097720000,,false,15,0,1335489508733
242,"Métro Outremont",6246,45.520265,-73.614887,true,false,1333483200000,,false,17,2,1335488993052
243,"Casgrain / Saint-Zotique",6247,45.53304,-73.61108,true,false,1332979080000,,false,12,2,1335484224882
244,"Dante / Alma",6248,45.53479,-73.6119,true,false,1332979080000,,false,10,1,1335486778747
245,"Bélanger / Saint-Denis",6249,45.53696,-73.61199,true,false,1332978540000,,false,8,7,1335494144976
246,"Henri-Julien / Jean-Talon",6250,45.53707,-73.61529,true,false,1333556220000,,false,18,5,1335492698345
247,"Casgrain / Mozart",6251,45.534788,-73.614726,true,false,1333556280000,,false,13,1,1335492668127
248,"Mozart / Saint-Laurent",6252,45.53318,-73.61544,true,false,1333556220000,,false,13,1,1335493572425
249,"Saint-Vallier / Jean-Talon",6253,45.538921,-73.613701,true,false,1333747200000,,false,16,9,1335494535164
250,"Boyer / Bélanger",6254,45.54006,-73.60897,true,false,1334438940000,,false,12,3,1335490195447
251,"Boyer / Saint-Zotique",6255,45.53848,-73.60556,true,false,1334438940000,,false,9,6,1335485638382
253,"Saint-Vallier / Saint-Zotique",6257,45.536299,-73.607773,true,false,1332978420000,,false,13,2,1335492077234
254,"Parc Père-Marquette",6258,45.537035,-73.593126,true,false,1332978600000,,false,1,14,1335495267231
255,"Holt / de Lorimier",6259,45.54184,-73.58644,true,false,1333556580000,,false,0,11,1335481800460
256,"Cartier / des Carrières",6260,45.53989,-73.58807,true,false,1332978780000,,false,4,7,1335481705732
257,"des Érables / Rosemont",6261,45.54363,-73.58844,true,false,1332978840000,,false,9,2,1335487245892
258,"de la Roche /  Bellechasse ",6262,45.537202,-73.597884,true,false,1333555980000,,false,6,9,1335491573409
259,Hampton/Monkland,6263,45.4714,-73.6266,true,false,1333675800000,,false,13,2,1335493417683
260,"Chabot / Bellechasse",6264,45.5427,-73.59212,true,false,1334340960000,,false,2,13,1335481702114
261,"Louis-Hémon / Bellechasse",6265,45.545264,-73.589918,true,false,1333555980000,,false,7,8,1335491338671
262,"Louis-Hébert / Beaubien",6266,45.54857,-73.59268,true,false,1333556040000,,false,11,8,1335481829049
263,"de Bordeaux / Beaubien",6267,45.54475,-73.5949,true,false,1333556100000,,false,11,4,1335495098117
264,"Chambord / Beaubien",6268,45.539964,-73.599716,true,false,1333556100000,,false,10,5,1335493623185
265,"de Normanville / Saint-Zotique",6269,45.54083,-73.60384,true,false,1333569540000,,false,0,7,1335481697877
266,"Fabre / Saint-Zotique",6270,45.543541,-73.600982,true,false,1333569600000,,false,9,1,1335493250652
267,"de Gaspé / de Bellechasse",6271,45.530512,-73.603949,true,false,1332978480000,,false,1,10,1335485010657
268,"des Érables / Saint-Zotique",6272,45.5477,-73.59721,true,false,1333556400000,,false,9,2,1335490172508
269,"Garnier / Bélanger",6273,45.544471,-73.605145,true,false,1333556400000,,false,6,9,1335481710215
270,"Cartier / Bélanger",6274,45.54691,-73.60281,true,false,1333556520000,,false,8,3,1335481708695
271,"Chambord / Jean-Talon",6275,45.544828,-73.610458,true,false,1333569900000,,false,10,5,1335481709830
272,"De la Roche / Bélanger",6276,45.5416,-73.608,true,false,1333569960000,,false,13,2,1335492265031
273,"Louis-Hébert / Saint-Zotique",6278,45.55001,-73.59576,true,false,1333569720000,,false,7,3,1335485054377
274,"Louis-Hébert / Bélanger",6279,45.551457,-73.598852,true,false,1333569840000,,false,4,7,1335489776970
275,"Fabre / Beaubien",6904,45.542055,-73.597793,true,false,1334341080000,,false,10,5,1335490130002
276,"Parc Rosemont",6905,45.544377,-73.581018,true,false,1334341080000,,false,10,13,1335492957340
277,"Chateaubriand/Rosemont ",6906,45.5325,-73.5973,true,false,1334314860000,,false,9,10,1335490474192
278,"Boyer / Rosemont",6907,45.534136,-73.595478,true,false,,,false,14,5,1335492473973
279,"St-André / Bellechasse",6908,45.535304,-73.599387,true,false,,,false,4,11,1335493011596
280,"Augustin-Cantin / Shearer",6921,45.483977,-73.563576,true,false,1334013480000,,false,0,15,1335491948294
281,"Louis-Colin / McKenna",6926,45.499916,-73.618089,true,false,1333482600000,,false,18,9,1335487371891
282,"Édouard-Montpetit / Stirling",6927,45.50723,-73.615085,true,false,1333483260000,,false,1,18,1335492905033
283,"Chemin de la Tour",6928,45.503023,-73.616531,true,false,1333482600000,,false,23,2,1335493241301
284,"Waverly / Van Horne",6228,45.527363,-73.607723,true,false,1333047720000,,false,3,8,1335489398166
285,"Hutchison / Van Horne",6232,45.525021229212776,-73.61073732376099,true,false,1334275860000,,false,6,9,1335489346749
